window_start,window_end,probability,estimated_bifurcation_timestep
432,496,0.3638911843299866,463
498,562,0.3914647400379181,529
564,628,0.5042902827262878,596
630,694,0.4568290710449219,662
696,760,0.4036787748336792,728
762,826,0.44026780128479004,794
828,892,0.40153664350509644,860
918,982,0.3637762665748596,950
