window_start,window_end,probability,estimated_bifurcation_timestep
396,460,0.3570736050605774,427
516,580,0.30346354842185974,547
648,712,0.3003551959991455,680
714,778,0.3258826732635498,746
780,844,0.3227460980415344,812
930,994,0.32072094082832336,963
