window_start,window_end,probability,estimated_bifurcation_timestep,delta
252,380,0.4279090464115143,315,55.0
384,512,0.4482819736003876,448,
516,644,0.449046790599823,582,
648,776,0.4564738869667053,713,
780,908,0.476738840341568,846,
