window_start,window_end,probability,estimated_bifurcation_timestep,delta
336,464,0.44052496552467346,402,-203.0
492,620,0.44191211462020874,559,
624,752,0.4509753882884979,690,
756,884,0.5106242299079895,818,
888,1016,0.44550013542175293,954,
