window_start,window_end,probability,estimated_bifurcation_timestep,delta
360,488,0.44977712631225586,426,-189.0
492,620,0.4492250084877014,559,
624,752,0.49822133779525757,693,
756,884,0.5372068881988525,824,
888,1016,0.5088497400283813,955,
