window_start,window_end,probability,estimated_bifurcation_timestep,delta
306,434,0.44488853216171265,371,151.0
444,572,0.44156336784362793,510,
576,704,0.4807424247264862,640,
708,836,0.4764057695865631,772,
840,968,0.5098061561584473,904,
