window_start,window_end,probability,estimated_bifurcation_timestep
312,440,0.46037545800209045,392
444,572,0.4773748219013214,518
576,704,0.5650060176849365,662
708,836,0.5552809834480286,792
840,968,0.5294415354728699,921
