window_start,window_end,probability,estimated_bifurcation_timestep,delta
312,440,0.44174933433532715,379,204.0
480,608,0.4365006387233734,547,
612,740,0.4886097311973572,679,
744,872,0.49323534965515137,810,
876,1004,0.46864572167396545,942,
