window_start,window_end,probability,estimated_bifurcation_timestep,delta
342,470,0.4608270227909088,407,137.0
474,602,0.47490447759628296,539,
606,734,0.5011371374130249,673,
738,866,0.47274714708328247,805,
870,998,0.5077866911888123,937,
