window_start,window_end,probability,estimated_bifurcation_timestep,delta
252,380,0.46837282180786133,318,83.0
384,512,0.48109954595565796,450,
516,644,0.47801223397254944,582,
648,776,0.5959543585777283,715,
780,908,0.5018327832221985,847,
