window_start,window_end,probability,estimated_bifurcation_timestep,delta
360,488,0.4633570611476898,425,120.0
492,620,0.5571324825286865,559,
624,752,0.4939780533313751,692,
756,884,0.5694321393966675,824,
888,1016,0.5521970391273499,955,
