window_start,window_end,probability,prob_std,estimated_bifurcation_timestep,timing_uncertainty,delta
246,310,0.4755163311958313,0.06087598855448285,283,1.4032866120203311,-227.0
474,538,0.46734009981155394,0.08342053454892262,508,1.258426508712709,
540,604,0.7437686085700989,0.05714021823482211,573,0.9300096057040088,
684,748,0.49359981417655946,0.07786752545058585,719,1.367055897723758,
750,814,0.6841048479080201,0.05586746922521043,773,0.9830264556506474,
816,880,0.5059805333614349,0.06964679593189806,848,1.262819797397866,
882,946,0.6436261653900146,0.08378295896164488,908,1.5711556847960626,
948,1012,0.4989099383354187,0.06646097989884978,974,2.7290093740081973,
