window_start,window_end,probability,prob_std,estimated_bifurcation_timestep,timing_uncertainty,delta
156,220,0.531122624874115,0.03830921859114164,192,2.1986502545279025,-363.0
528,592,0.4902048110961914,0.03366568568674406,561,2.3366737601225074,
594,658,0.7305444240570068,0.019588169329288807,625,2.471110676971203,
792,856,0.4853683948516846,0.03993772213488841,826,1.926235219784631,
858,922,0.7242776989936829,0.035647714613590974,884,2.5979958180482687,
924,988,0.48199044466018676,0.02746917954489355,954,1.7353068835981431,
