window_start,window_end,probability,estimated_bifurcation_timestep,delta
192,320,0.4252682328224182,261,-94.0
324,452,0.46678441762924194,391,
456,584,0.5347051024436951,521,
588,716,0.5209012031555176,654,
720,848,0.5228506922721863,785,
852,980,0.5327656269073486,917,
