window_start,window_end,probability,estimated_bifurcation_timestep,delta
180,308,0.43851980566978455,248,78.0
360,488,0.43336519598960876,426,
492,620,0.44487208127975464,559,
624,752,0.5139501094818115,692,
756,884,0.49250537157058716,825,
888,1016,0.49406206607818604,955,
