window_start,window_end,probability,estimated_bifurcation_timestep,delta
246,374,0.44838476181030273,311,136.0
408,536,0.45021945238113403,474,
540,668,0.451437771320343,605,
672,800,0.4697829782962799,739,
804,932,0.489736944437027,870,
