window_start,window_end,probability,estimated_bifurcation_timestep,delta
276,404,0.4498201608657837,341,146.0
420,548,0.45001402497291565,485,
552,680,0.5077287554740906,615,
684,812,0.5328431725502014,746,
816,944,0.5137038230895996,880,
