window_start,window_end,probability,estimated_bifurcation_timestep,delta
252,380,0.43826037645339966,317,72.0
384,512,0.4957965016365051,451,
516,644,0.46722736954689026,583,
648,776,0.48576393723487854,715,
780,908,0.4792618155479431,846,
