window_start,window_end,probability,estimated_bifurcation_timestep,delta
132,260,0.4592001736164093,197,22.0
264,392,0.4561956822872162,329,
396,524,0.45408016443252563,460,
528,656,0.4886355400085449,594,
660,788,0.5328631401062012,725,
792,920,0.5127789378166199,858,
