window_start,window_end,probability,estimated_bifurcation_timestep,delta
324,452,0.4550527036190033,391,1.0
456,584,0.5009060502052307,525,
588,716,0.5059736371040344,657,
720,848,0.5525520443916321,789,
852,980,0.49458470940589905,919,
