window_start,window_end,probability,estimated_bifurcation_timestep,delta
348,476,0.45091497898101807,413,128.0
480,608,0.4821009635925293,545,
612,740,0.46290212869644165,677,
744,872,0.5380359888076782,811,
876,1004,0.5055844187736511,942,
